Chemin Stratégique,48.710991,6.204453,1,True,
Bas Château,48.70763,6.215856,1,True,
Charmettes,48.705959,6.208865,1,True,
Pont de pierre,48.700062,6.214517,1,True,
Washington Foch,48.702126,6.213352,1,True,
Acacias,48.710224,6.215261,1,True,
Place de Gaulle,48.703491,6.204847,1,True,
Haie le Comte,48.711063,6.206987,1,True,
Jolimont,48.711006,6.20236,1,True,
Libérator,48.704197,6.201418,1,True,
Lido,48.698147,6.206518,1,True,
Saint-Livier,48.700832,6.208877,1,True,
Massenet,48.705048,6.198504,1,True,
Saint-Médard,48.706825,6.21188,1,True,
Jacques Cartier,48.703056,6.195841,1,True,
Jean Moulin,48.694508,6.21122,1,True,
Gérard Barrois - Stade Marcel Picot,48.69968,6.204713,1,True,
Blaison - Parc,48.701546,6.199971,1,True,
Varoquaux,48.697075,6.215844,1,True,
Tomblaine Groupe Scolaire,48.696453,6.21611,1,True,
Alexandre 1er,48.704506,6.192495,1,True,
Driant,48.708775,6.188256,1,True,
Barrès,48.707462,6.188485,1,True,
Le Bourgarel,48.723228,6.176558,1,True,
Sadi Carnot,48.707088,6.185262,1,True,
Croix de Mission,48.71558,6.185061,1,True,
Ecole Paul Bert,48.710526,6.184198,1,True,
Malzéville - Eglise,48.711765,6.18671,1,True,
Ecole Pasteur,48.708885,6.193431,1,True,
Jéricho,48.706799,6.189755,1,True,
Libremont,48.710152,6.197753,1,True,
Douëra,48.709721,6.180399,1,True,
Lion d'Or,48.709721,6.180399,1,True,
Longefond,48.720882,6.181687,1,True,
Malzéville Mairie,48.708516,6.183669,1,True,
Malzéville Margeville,48.719505,6.177142,1,True,
Le Nid,48.705143,6.194976,1,True,
Orme,48.707569,6.184659,1,True,
Pinsons,48.706673,6.197795,1,True,
Passerelle,48.71244,6.184271,1,True,
Pavillon,48.718537,6.183164,1,True,
Malzéville Pixerécourt,48.731663,6.182253,1,True,
Malzéville Savlons,48.713779,6.18127,1,True,
Malzéville Stade,48.712093,6.178589,1,True,
